meter_id,total_kwh,peak_kwh,peak_ratio,cluster_name,cooling_load,base_load,policy_level
MAC004054,16729.0950009,6722.9190052,0.40186985636929656,Evening Peak,2029.481894818624,16797.77050761896,Level 3 - Demand Response
MAC004055,13806.7219981,6254.5629974,0.45300854165534127,Evening Peak,1854.743262282689,13826.678317008404,Level 3 - Demand Response
MAC004056,3784.485,1106.213,0.29230212301013214,Evening Peak,722.5112013422818,3792.5862986577185,Level 1 - Communication
MAC004057,8338.108002,3447.6489994,0.4134809717711785,Evening Peak,2165.4989265571426,8377.057817142857,Level 3 - Demand Response
MAC004058,3408.2039999,1004.0279999,0.29459152090938784,Evening Peak,382.7347633335061,3403.045664838687,Level 1 - Communication
MAC004059,7205.7740002,3217.0079996,0.4464486395924588,Evening Peak,1254.9453177941175,7224.255126352941,Level 2 - TOU Pricing
MAC004060,4340.5809988,2068.415999,0.47652975478900994,Evening Peak,676.0271941899329,4345.587976977852,Level 2 - TOU Pricing
MAC004061,3382.8739999,1350.1449999,0.39911182028651115,Evening Peak,553.6834012211349,3363.53438737456,Level 2 - TOU Pricing
MAC004062,3870.1819995,1513.2099998,0.3909919481811181,Evening Peak,318.50239367255887,3875.5118479806397,Level 2 - TOU Pricing
MAC004063,6536.7190011,2312.2450005,0.3537317421952657,Evening Peak,812.5674568291944,6545.882256142786,Level 2 - TOU Pricing
MAC004064,1521.4439999,463.807,0.3048465799796014,Evening Peak,298.83363234131525,1516.8204450930862,Level 1 - Communication
MAC004065,5465.9510006,2039.9670005,0.3732135542883703,Evening Peak,736.2177429442726,5480.842565620123,Level 2 - TOU Pricing
MAC004066,6850.5860002,3267.2319995,0.47692737517704537,Evening Peak,665.1232411061918,6853.1445187774,Level 2 - TOU Pricing
MAC004067,0.0,0.0,0.0,Night Owl,0.0,0.0,Level 1 - Communication
MAC004068,5100.8460004,2059.2320004,0.40370401306734577,Evening Peak,628.6181209616097,5107.683520526935,Level 2 - TOU Pricing
MAC004069,1214.364,383.38,0.3157043522370558,Evening Peak,154.6838686440678,1217.2948516949152,Level 1 - Communication
MAC004070,5089.0290004,1312.3509996,0.25787846748305987,Daytime Active,1250.884051772387,5105.585919279875,Level 1 - Communication
MAC004071,3694.2649995,1383.9609995,0.37462418090941285,Evening Peak,826.6961713936568,3708.133656212686,Level 2 - TOU Pricing
MAC004072,5282.3629999,1517.488,0.287274464104176,Daytime Active,360.9620603097674,5282.033023155039,Level 1 - Communication
MAC004073,3928.8779999,1541.2209999,0.3922801878651432,Evening Peak,436.5353633046583,3939.289920706677,Level 2 - TOU Pricing
MAC004074,7950.5750001,3062.8120001,0.38523150842064596,Evening Peak,981.9598743703875,7970.971162891473,Level 2 - TOU Pricing
MAC004075,9130.4589998,4482.0430006,0.49088912186103434,Evening Peak,1226.8826072444099,9172.43289265559,Level 3 - Demand Response
MAC004076,12233.9930014,4056.6280001,0.3315865882574707,Evening Peak,1026.8630830758143,12247.857288232557,Level 1 - Communication
MAC004077,4460.1929998,1490.7199999,0.3342276892427852,Evening Peak,1299.7860697058914,4473.829069565892,Level 1 - Communication
MAC004078,6524.3300015,1980.089001,0.3034930790663195,Evening Peak,763.1213662376158,6524.26959903483,Level 1 - Communication
MAC004079,3259.1329995,1136.6789999,0.34876729488314334,Daytime Active,250.33387899148613,3259.3252193103713,Level 1 - Communication
MAC004080,2481.065,979.26,0.3946934078712166,Evening Peak,229.55637209302327,2482.938527131783,Level 2 - TOU Pricing
MAC004081,4402.493,1719.624,0.390602324637427,Daytime Active,546.9409333333333,4410.610775193799,Level 2 - TOU Pricing
MAC004082,9671.6980024,4229.2240014,0.4372783352365357,Evening Peak,2694.2705531727556,9723.990025537616,Level 3 - Demand Response
MAC004083,4526.1219992,2057.3529995,0.4545509378367708,Evening Peak,420.34338348766744,4545.50971769437,Level 2 - TOU Pricing
MAC004084,5916.4620001,2034.399,0.3438539789430938,Evening Peak,1054.6263487888702,5914.932674519436,Level 1 - Communication
MAC004085,8932.5380004,3593.1930014,0.40225891020436705,Evening Peak,785.087147805116,8932.501550790697,Level 3 - Demand Response
MAC004086,6493.0709998,1600.5750006,0.24650508220983586,Daytime Active,800.7162531856923,6497.6189484765155,Level 1 - Communication
MAC004087,10879.6520017,3750.3979994,0.3447167242862163,Daytime Active,1198.867741685715,10882.959062171427,Level 1 - Communication
MAC004088,4803.7490002,1257.7129998,0.26181905002689276,Daytime Active,349.0836430178573,4802.098133641149,Level 1 - Communication
MAC004089,4431.4769992,1260.194,0.284373359091675,Daytime Active,518.0214020065016,4434.980832011145,Level 1 - Communication
MAC004090,3558.2859996,1076.3079998,0.3024793397498098,Evening Peak,638.6022227157897,3558.024375757894,Level 1 - Communication
MAC004091,13029.7560029,5117.9190016,0.39278701768942703,Evening Peak,2192.9868050427244,13082.743906947213,Level 3 - Demand Response
MAC004092,2742.1569995,1380.2249995,0.5033355127921807,Evening Peak,341.7425738568555,2743.562105528337,Level 2 - TOU Pricing
MAC004093,1711.7410001,537.086,0.31376592601837744,Daytime Active,198.96128510140187,1713.3376309419002,Level 1 - Communication
MAC004094,3993.925,1398.8970003,0.35025620168130345,Evening Peak,570.2806264565892,4003.8871317829457,Level 2 - TOU Pricing
MAC004095,4602.8419986,2012.586999,0.43724876926302236,Evening Peak,696.0081725252873,4611.7328261747125,Level 2 - TOU Pricing
MAC004096,3070.692,958.697,0.31220877899834953,Evening Peak,307.1601999999999,3070.0800000000004,Level 1 - Communication
MAC004097,3279.4900000000002,965.0120001,0.2942567289731025,Evening Peak,374.74773913043475,3276.5107639751554,Level 1 - Communication
MAC004098,2474.265,730.539,0.2952549545016399,Evening Peak,134.63728771384137,2476.294208398134,Level 1 - Communication
MAC004099,2189.988,810.704,0.37018650330504094,Evening Peak,280.55243701399695,2190.36899533437,Level 2 - TOU Pricing
MAC004100,1313.298,438.336,0.333767355162347,Daytime Active,262.89369349845197,1311.4445386996904,Level 1 - Communication
